"No.","Time","MACSrc","Source","PortSrc","Protocol","MACDest","Destination","PortDst","Info","Length"
"12907","426.403917","00:16:6f:4d:0d:10","IntelCor_4d:0d:10","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=31, FN=0, Flags=........","26"
"50434","1822.122708","00:16:6f:4d:0d:10","IntelCor_4d:0d:10","","802.11","00:0f:34:56:59:54","Cisco_56:59:54","","Disassociate, SN=3914, FN=0, Flags=.p.....T[Malformed Packet]","24"
"63316","2309.356253","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=58, FN=0, Flags=........","26"
"71722","2554.400437","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=145, FN=0, Flags=....R...","26"
"101857","2859.044439","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=245, FN=0, Flags=....R...","26"
"143226","3303.879825","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=407, FN=0, Flags=....R...","26"
"143228","3303.882370","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=407, FN=0, Flags=....R...","26"
"152822","3509.190401","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=473, FN=0, Flags=........","26"
"159188","3625.210510","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=521, FN=0, Flags=........","26"
"210539","4486.507391","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=687, FN=0, Flags=........","26"
"213299","4538.521769","00:13:ce:9d:de:ab","IntelCor_9d:de:ab","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=3906, FN=0, Flags=...P..FT[Malformed Packet]","24"
"214161","4551.419837","00:13:ce:9d:de:ab","IntelCor_9d:de:ab","","802.11","62:b1:5f:73:a5:93","62:b1:5f:73:a5:93","","Disassociate, SN=4034, FN=0, Flags=....R.FT[Malformed Packet]","24"
"228620","4816.955045","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=783, FN=0, Flags=........","26"
"229788","4839.992358","00:14:a5:7d:12:30","GemtekTe_7d:12:30","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1886, FN=0, Flags=........","26"
"241171","4980.422308","00:14:a5:f8:40:59","GemtekTe_f8:40:59","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=2117, FN=0, Flags=........","26"
"256833","5115.761409","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=873, FN=0, Flags=........","26"
"267842","5336.743450","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=939, FN=0, Flags=........","26"
"285674","5698.116836","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1037, FN=0, Flags=........","26"
"294885","5847.008500","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1079, FN=0, Flags=........","26"
"308364","6085.295341","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1165, FN=0, Flags=........","26"
"314362","6179.606730","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1205, FN=0, Flags=........","26"
"328480","6349.230534","00:14:a5:7d:12:30","GemtekTe_7d:12:30","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=2243, FN=0, Flags=........","26"
"331236","6398.719672","00:0b:7d:64:1b:a5","SolomonE_64:1b:a5","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=24, FN=0, Flags=........","26"
"332470","6426.700618","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1281, FN=0, Flags=........","26"
"382585","7303.421898","00:11:24:a0:a0:9b","Apple_a0:a0:9b","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=2371, FN=0, Flags=........","26"
"489050","9047.640024","00:11:50:f8:69:6d","Belkin_f8:69:6d","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=549, FN=0, Flags=........","26"
"1043256","11677.639727","00:16:cb:3d:4a:0a","Apple_3d:4a:0a","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=443, FN=0, Flags=........","26"
"1050776","11718.671959","40:d6:43:bb:3d:c7","40:d6:43:bb:3d:c7","","802.11","02:0f:34:64:c7:80","MS-NLB-PhysServer-15_34:64:c7:80","","Disassociate, SN=1530, FN=0, Flags=.pmPRMF.[Malformed Packet]","24"
"1104050","11927.846306","00:16:cb:3d:4a:0a","Apple_3d:4a:0a","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=3510, FN=0, Flags=........","26"
"1115577","11995.201187","00:13:ce:8e:b0:d0","IntelCor_8e:b0:d0","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=2369, FN=0, Flags=........","26"
"1156240","12225.199187","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1736, FN=0, Flags=........","26"
"1187008","12403.753273","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=1960, FN=0, Flags=........","26"
"1286734","12919.104159","00:11:50:f8:69:6d","Belkin_f8:69:6d","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Disassociate, SN=3755, FN=0, Flags=........","26"
